P:99.95%	R:72.17%
----------------------------
Node	P	R
978	75.76%	100.00%
993	81.58%	100.00%
22	100.00%	100.00%
765	81.25%	100.00%
796	77.78%	100.00%
881	90.48%	100.00%
935	78.57%	100.00%
945	79.31%	100.00%
950	74.19%	100.00%
23	0.00%	0
456	77.78%	100.00%
931	76.92%	100.00%
964	23.33%	100.00%
973	76.47%	100.00%
997	75.68%	100.00%
24	83.33%	100.00%
66	100.00%	100.00%
128	100.00%	100.00%
166	85.71%	100.00%
298	85.71%	100.00%
314	85.71%	100.00%
650	83.33%	100.00%
801	82.35%	100.00%
25	100.00%	100.00%
418	85.71%	100.00%
749	92.31%	100.00%
764	70.59%	100.00%
992	81.82%	100.00%
26	60.00%	100.00%
31	50.00%	100.00%
297	85.71%	100.00%
372	62.50%	100.00%
394	87.50%	100.00%
683	30.77%	100.00%
805	55.56%	100.00%
586	66.67%	100.00%
880	85.00%	100.00%
28	60.00%	100.00%
200	66.67%	100.00%
242	80.00%	100.00%
243	83.33%	100.00%
505	20.00%	100.00%
582	70.00%	100.00%
799	82.35%	100.00%
802	33.33%	100.00%
29	80.00%	100.00%
270	100.00%	100.00%
461	100.00%	100.00%
715	92.86%	100.00%
767	66.67%	100.00%
904	84.00%	100.00%
907	34.78%	100.00%
30	100.00%	100.00%
424	85.71%	100.00%
445	77.78%	100.00%
522	66.67%	100.00%
566	70.00%	100.00%
587	90.00%	100.00%
658	64.29%	100.00%
193	100.00%	100.00%
362	62.50%	100.00%
32	50.00%	100.00%
175	71.43%	100.00%
410	100.00%	100.00%
611	81.82%	100.00%
745	42.86%	100.00%
838	27.78%	100.00%
953	25.81%	100.00%
983	28.57%	100.00%
33	66.67%	100.00%
176	100.00%	100.00%
685	83.33%	100.00%
792	64.71%	100.00%
819	58.82%	100.00%
995	65.79%	100.00%
34	100.00%	100.00%
648	83.33%	100.00%
848	80.00%	100.00%
877	81.82%	100.00%
913	86.96%	100.00%
929	80.77%	100.00%
941	85.19%	100.00%
955	85.71%	100.00%
35	80.00%	100.00%
430	85.71%	100.00%
984	77.78%	100.00%
36	80.00%	100.00%
592	81.82%	100.00%
689	100.00%	100.00%
708	33.33%	100.00%
833	88.89%	100.00%
861	80.95%	100.00%
990	77.78%	100.00%
37	80.00%	100.00%
171	80.00%	100.00%
228	83.33%	100.00%
740	92.86%	100.00%
38	80.00%	100.00%
76	66.67%	100.00%
136	66.67%	100.00%
199	85.71%	100.00%
211	66.67%	100.00%
316	71.43%	100.00%
966	20.69%	100.00%
39	60.00%	100.00%
364	71.43%	100.00%
494	33.33%	100.00%
584	80.00%	100.00%
804	40.00%	100.00%
951	79.31%	100.00%
40	83.33%	100.00%
81	40.00%	100.00%
969	81.82%	100.00%
975	78.12%	100.00%
988	70.27%	100.00%
996	68.42%	100.00%
41	100.00%	100.00%
112	83.33%	100.00%
486	87.50%	100.00%
561	60.00%	100.00%
606	80.00%	100.00%
632	66.67%	100.00%
727	64.29%	100.00%
42	100.00%	100.00%
944	76.67%	100.00%
959	76.67%	100.00%
974	77.42%	100.00%
43	100.00%	100.00%
68	100.00%	100.00%
111	83.33%	100.00%
113	83.33%	100.00%
224	85.71%	100.00%
226	85.71%	100.00%
239	100.00%	100.00%
581	33.33%	100.00%
44	80.00%	100.00%
583	70.00%	100.00%
807	70.59%	100.00%
854	80.00%	100.00%
891	90.91%	100.00%
45	60.00%	100.00%
110	66.67%	100.00%
216	83.33%	100.00%
306	66.67%	100.00%
467	62.50%	100.00%
475	55.56%	100.00%
46	80.00%	100.00%
569	81.82%	100.00%
426	62.50%	100.00%
468	77.78%	100.00%
48	100.00%	100.00%
148	60.00%	100.00%
431	85.71%	100.00%
470	87.50%	100.00%
481	77.78%	100.00%
722	76.92%	100.00%
882	72.73%	100.00%
49	100.00%	100.00%
271	83.33%	100.00%
918	76.00%	100.00%
948	68.97%	100.00%
50	66.67%	100.00%
154	83.33%	100.00%
415	75.00%	100.00%
439	77.78%	100.00%
673	75.00%	100.00%
879	33.33%	100.00%
51	100.00%	100.00%
599	80.00%	100.00%
608	81.82%	100.00%
647	81.82%	100.00%
863	70.00%	100.00%
52	40.00%	100.00%
208	100.00%	100.00%
789	29.41%	100.00%
53	60.00%	100.00%
135	80.00%	100.00%
165	50.00%	100.00%
238	66.67%	100.00%
427	62.50%	100.00%
537	80.00%	100.00%
924	60.00%	100.00%
54	40.00%	100.00%
58	66.67%	100.00%
218	33.33%	100.00%
661	33.33%	100.00%
748	28.57%	100.00%
55	66.67%	100.00%
485	66.67%	100.00%
623	81.82%	100.00%
763	73.33%	100.00%
56	100.00%	100.00%
386	87.50%	100.00%
977	82.86%	100.00%
1000	77.14%	100.00%
57	100.00%	100.00%
74	60.00%	100.00%
138	66.67%	100.00%
231	57.14%	100.00%
159	40.00%	100.00%
59	60.00%	100.00%
567	80.00%	100.00%
679	61.54%	100.00%
723	28.57%	100.00%
742	60.00%	100.00%
820	50.00%	100.00%
986	76.47%	100.00%
60	100.00%	100.00%
300	85.71%	100.00%
61	60.00%	100.00%
70	80.00%	100.00%
80	100.00%	100.00%
267	83.33%	100.00%
776	76.47%	100.00%
970	27.27%	100.00%
62	100.00%	100.00%
484	87.50%	100.00%
780	93.33%	100.00%
63	83.33%	100.00%
179	83.33%	100.00%
250	66.67%	100.00%
265	66.67%	100.00%
283	71.43%	100.00%
989	77.14%	100.00%
64	60.00%	100.00%
79	33.33%	100.00%
641	63.64%	100.00%
65	100.00%	100.00%
443	66.67%	100.00%
476	62.50%	100.00%
163	83.33%	100.00%
170	83.33%	100.00%
67	83.33%	100.00%
894	27.27%	100.00%
915	87.50%	100.00%
999	78.95%	100.00%
509	80.00%	100.00%
716	92.86%	100.00%
69	60.00%	100.00%
558	80.00%	100.00%
757	73.33%	100.00%
762	78.57%	100.00%
784	76.47%	100.00%
834	73.68%	100.00%
911	26.92%	100.00%
71	66.67%	100.00%
139	80.00%	100.00%
310	57.14%	100.00%
376	62.50%	100.00%
637	81.82%	100.00%
72	83.33%	100.00%
335	85.71%	100.00%
477	88.89%	100.00%
620	0.00%	0
687	91.67%	100.00%
73	80.00%	100.00%
448	50.00%	100.00%
712	71.43%	100.00%
730	85.71%	100.00%
739	73.33%	100.00%
923	23.08%	100.00%
274	85.71%	100.00%
441	85.71%	100.00%
75	60.00%	100.00%
144	50.00%	100.00%
223	40.00%	100.00%
327	57.14%	100.00%
939	85.19%	100.00%
976	30.30%	100.00%
531	88.89%	100.00%
873	33.33%	100.00%
77	60.00%	100.00%
160	66.67%	100.00%
232	66.67%	100.00%
519	70.00%	100.00%
732	80.00%	100.00%
78	100.00%	100.00%
100	100.00%	100.00%
381	75.00%	100.00%
601	72.73%	100.00%
713	84.62%	100.00%
791	58.82%	100.00%
556	80.00%	100.00%
842	77.78%	100.00%
302	71.43%	100.00%
778	83.33%	100.00%
910	24.00%	85.71%
82	83.33%	100.00%
320	85.71%	100.00%
353	100.00%	100.00%
809	88.24%	100.00%
869	94.74%	100.00%
960	83.33%	100.00%
83	75.00%	100.00%
293	50.00%	100.00%
382	57.14%	100.00%
84	80.00%	100.00%
344	85.71%	100.00%
565	80.00%	100.00%
851	33.33%	100.00%
85	66.67%	100.00%
107	50.00%	100.00%
149	33.33%	100.00%
695	0.00%	0
916	72.00%	100.00%
86	80.00%	100.00%
759	62.50%	100.00%
87	100.00%	100.00%
102	80.00%	100.00%
677	91.67%	100.00%
876	78.26%	100.00%
88	83.33%	100.00%
433	75.00%	100.00%
89	100.00%	100.00%
615	90.91%	100.00%
655	66.67%	100.00%
667	83.33%	100.00%
680	71.43%	100.00%
704	61.54%	100.00%
90	83.33%	100.00%
862	70.00%	100.00%
872	84.21%	100.00%
927	70.37%	100.00%
91	83.33%	100.00%
151	33.33%	100.00%
860	84.21%	100.00%
985	76.32%	96.67%
92	83.33%	100.00%
506	55.56%	100.00%
571	70.00%	100.00%
676	75.00%	100.00%
769	86.67%	100.00%
93	80.00%	100.00%
206	83.33%	100.00%
307	85.71%	100.00%
94	83.33%	100.00%
363	85.71%	100.00%
527	77.78%	100.00%
770	75.00%	100.00%
803	66.67%	100.00%
813	76.47%	100.00%
832	68.42%	100.00%
853	68.42%	100.00%
95	100.00%	100.00%
798	27.78%	100.00%
883	90.48%	100.00%
906	86.96%	100.00%
693	78.57%	100.00%
878	68.18%	100.00%
98	80.00%	100.00%
328	85.71%	100.00%
858	70.00%	100.00%
926	77.78%	100.00%
99	80.00%	100.00%
319	87.50%	100.00%
707	85.71%	100.00%
101	80.00%	100.00%
674	83.33%	100.00%
700	84.62%	100.00%
423	100.00%	100.00%
593	81.82%	100.00%
865	75.00%	100.00%
987	26.32%	100.00%
103	100.00%	100.00%
161	83.33%	100.00%
490	77.78%	100.00%
597	83.33%	100.00%
104	60.00%	100.00%
105	80.00%	100.00%
628	81.82%	100.00%
643	83.33%	100.00%
738	92.86%	100.00%
106	100.00%	100.00%
408	85.71%	100.00%
487	85.71%	100.00%
511	66.67%	100.00%
521	60.00%	100.00%
549	54.55%	100.00%
737	86.67%	100.00%
946	74.07%	100.00%
108	60.00%	100.00%
847	89.47%	100.00%
934	92.31%	100.00%
109	40.00%	100.00%
734	73.33%	100.00%
843	88.24%	100.00%
892	81.82%	100.00%
169	83.33%	100.00%
493	62.50%	100.00%
516	90.00%	100.00%
602	80.00%	100.00%
227	83.33%	100.00%
937	66.67%	100.00%
289	71.43%	100.00%
114	80.00%	100.00%
404	85.71%	100.00%
849	94.44%	100.00%
868	77.78%	100.00%
922	80.77%	100.00%
117	60.00%	100.00%
273	60.00%	100.00%
398	57.14%	100.00%
118	80.00%	100.00%
164	66.67%	100.00%
119	60.00%	100.00%
272	50.00%	100.00%
120	100.00%	100.00%
341	87.50%	100.00%
459	88.89%	100.00%
489	88.89%	100.00%
595	36.36%	100.00%
122	80.00%	100.00%
207	83.33%	100.00%
605	40.00%	100.00%
123	66.67%	100.00%
659	66.67%	100.00%
124	80.00%	100.00%
387	75.00%	100.00%
688	28.57%	100.00%
772	0.00%	0
125	50.00%	100.00%
603	81.82%	100.00%
126	80.00%	100.00%
744	92.86%	100.00%
127	100.00%	100.00%
497	37.50%	100.00%
535	80.00%	100.00%
183	100.00%	100.00%
771	23.53%	100.00%
129	100.00%	100.00%
130	80.00%	100.00%
508	90.00%	100.00%
131	100.00%	100.00%
180	66.67%	100.00%
188	83.33%	100.00%
264	83.33%	100.00%
373	62.50%	100.00%
391	75.00%	100.00%
472	62.50%	100.00%
290	100.00%	100.00%
636	84.62%	100.00%
133	40.00%	100.00%
888	86.96%	100.00%
134	100.00%	100.00%
286	83.33%	100.00%
554	80.00%	100.00%
665	83.33%	100.00%
669	92.31%	100.00%
839	57.89%	100.00%
229	66.67%	100.00%
260	83.33%	100.00%
836	88.89%	100.00%
137	40.00%	100.00%
276	57.14%	100.00%
609	60.00%	100.00%
664	61.54%	100.00%
720	28.57%	100.00%
919	30.77%	100.00%
949	22.58%	100.00%
351	85.71%	100.00%
773	93.75%	100.00%
887	75.00%	100.00%
282	87.50%	100.00%
140	50.00%	100.00%
246	66.67%	100.00%
141	100.00%	100.00%
646	100.00%	100.00%
142	100.00%	100.00%
635	90.91%	100.00%
657	66.67%	100.00%
143	83.33%	100.00%
530	70.00%	100.00%
266	66.67%	100.00%
870	76.19%	100.00%
145	60.00%	100.00%
545	90.00%	100.00%
830	29.41%	100.00%
146	100.00%	100.00%
147	100.00%	100.00%
296	85.71%	100.00%
457	77.78%	100.00%
710	78.57%	100.00%
550	81.82%	100.00%
766	29.41%	100.00%
304	0.00%	0
775	81.25%	100.00%
150	100.00%	100.00%
333	85.71%	100.00%
374	75.00%	100.00%
384	75.00%	100.00%
921	28.00%	100.00%
152	83.33%	100.00%
701	100.00%	100.00%
824	78.95%	100.00%
153	100.00%	100.00%
174	100.00%	100.00%
357	85.71%	100.00%
821	82.35%	100.00%
317	85.71%	100.00%
157	100.00%	100.00%
156	83.33%	100.00%
359	42.86%	100.00%
411	75.00%	100.00%
866	88.89%	100.00%
158	83.33%	100.00%
365	87.50%	100.00%
447	88.89%	100.00%
754	75.00%	100.00%
850	71.43%	100.00%
230	66.67%	100.00%
817	72.22%	100.00%
162	100.00%	100.00%
781	82.35%	100.00%
962	80.65%	100.00%
503	60.00%	100.00%
541	66.67%	100.00%
570	77.78%	100.00%
624	66.67%	100.00%
336	83.33%	100.00%
436	0.00%	0
684	78.57%	100.00%
902	87.50%	100.00%
167	66.67%	100.00%
578	80.00%	100.00%
696	100.00%	100.00%
168	100.00%	100.00%
589	90.91%	100.00%
690	76.92%	100.00%
187	60.00%	100.00%
656	33.33%	100.00%
893	86.36%	100.00%
172	83.33%	100.00%
413	75.00%	100.00%
559	90.00%	100.00%
822	77.78%	100.00%
173	83.33%	100.00%
428	62.50%	100.00%
564	81.82%	100.00%
617	90.91%	100.00%
831	82.35%	100.00%
177	33.33%	100.00%
360	85.71%	100.00%
728	73.33%	100.00%
178	85.71%	100.00%
221	85.71%	100.00%
515	88.89%	100.00%
644	66.67%	100.00%
840	89.47%	100.00%
753	26.67%	100.00%
591	83.33%	100.00%
790	31.25%	100.00%
378	85.71%	100.00%
182	83.33%	100.00%
758	81.25%	100.00%
760	93.33%	100.00%
385	85.71%	100.00%
779	68.75%	100.00%
184	100.00%	100.00%
794	87.50%	100.00%
185	100.00%	100.00%
255	100.00%	100.00%
318	100.00%	100.00%
186	100.00%	100.00%
269	100.00%	100.00%
788	82.35%	100.00%
380	87.50%	100.00%
482	88.89%	100.00%
942	82.76%	100.00%
189	100.00%	100.00%
425	71.43%	100.00%
702	76.92%	100.00%
725	85.71%	100.00%
735	73.33%	100.00%
190	100.00%	100.00%
301	85.71%	100.00%
399	100.00%	100.00%
514	66.67%	100.00%
961	29.03%	100.00%
191	83.33%	100.00%
245	60.00%	75.00%
192	66.67%	100.00%
395	75.00%	100.00%
407	71.43%	100.00%
867	89.47%	100.00%
195	100.00%	100.00%
465	87.50%	100.00%
786	93.75%	100.00%
196	83.33%	100.00%
275	71.43%	100.00%
279	71.43%	100.00%
346	62.50%	100.00%
368	75.00%	100.00%
557	50.00%	100.00%
197	85.71%	100.00%
458	66.67%	100.00%
691	76.92%	100.00%
890	73.91%	100.00%
198	83.33%	100.00%
257	16.67%	100.00%
369	87.50%	100.00%
201	100.00%	100.00%
437	77.78%	100.00%
202	66.67%	100.00%
555	70.00%	100.00%
672	84.62%	100.00%
815	82.35%	100.00%
203	66.67%	100.00%
339	83.33%	100.00%
533	100.00%	100.00%
204	100.00%	100.00%
885	90.91%	100.00%
205	83.33%	100.00%
574	81.82%	100.00%
331	100.00%	100.00%
706	78.57%	100.00%
209	83.33%	100.00%
403	57.14%	100.00%
547	50.00%	100.00%
210	83.33%	100.00%
212	66.67%	100.00%
491	85.71%	100.00%
213	85.71%	100.00%
642	36.36%	100.00%
777	75.00%	100.00%
214	85.71%	100.00%
933	82.14%	100.00%
215	0.00%	0
474	75.00%	100.00%
217	66.67%	100.00%
323	100.00%	100.00%
397	87.50%	100.00%
614	100.00%	100.00%
940	85.71%	100.00%
220	66.67%	100.00%
312	62.50%	100.00%
662	76.92%	100.00%
681	92.31%	100.00%
825	27.78%	100.00%
613	75.00%	100.00%
222	66.67%	100.00%
654	23.08%	100.00%
733	86.67%	100.00%
252	66.67%	100.00%
729	76.92%	100.00%
478	0.00%	0
500	77.78%	87.50%
588	70.00%	100.00%
233	42.86%	100.00%
552	44.44%	100.00%
610	83.33%	100.00%
247	83.33%	100.00%
345	100.00%	100.00%
856	84.21%	100.00%
234	85.71%	100.00%
619	91.67%	100.00%
903	90.48%	100.00%
235	83.33%	100.00%
512	100.00%	100.00%
649	75.00%	100.00%
652	58.33%	100.00%
818	64.71%	100.00%
348	85.71%	100.00%
237	66.67%	100.00%
697	28.57%	100.00%
513	90.00%	100.00%
241	100.00%	100.00%
668	69.23%	100.00%
743	92.86%	100.00%
726	85.71%	100.00%
244	71.43%	100.00%
311	14.29%	100.00%
633	91.67%	100.00%
703	78.57%	100.00%
785	23.53%	100.00%
451	100.00%	100.00%
248	80.00%	100.00%
473	66.67%	100.00%
249	85.71%	100.00%
823	73.68%	100.00%
253	100.00%	100.00%
254	100.00%	100.00%
590	83.33%	100.00%
464	87.50%	100.00%
598	81.82%	100.00%
638	83.33%	100.00%
256	83.33%	100.00%
340	71.43%	100.00%
258	83.33%	100.00%
259	100.00%	100.00%
645	83.33%	100.00%
261	83.33%	100.00%
262	100.00%	100.00%
450	88.89%	100.00%
671	83.33%	100.00%
263	83.33%	100.00%
768	93.33%	100.00%
525	88.89%	100.00%
889	82.61%	100.00%
560	27.27%	100.00%
277	0.00%	0
278	83.33%	100.00%
954	25.00%	100.00%
280	100.00%	100.00%
463	66.67%	100.00%
502	77.78%	100.00%
402	75.00%	100.00%
284	85.71%	100.00%
546	66.67%	100.00%
285	87.50%	100.00%
618	91.67%	100.00%
409	100.00%	100.00%
287	85.71%	100.00%
639	90.91%	100.00%
288	85.71%	100.00%
330	85.71%	100.00%
518	88.89%	100.00%
499	88.89%	100.00%
291	0.00%	0
483	100.00%	100.00%
292	85.71%	100.00%
932	81.48%	100.00%
417	25.00%	100.00%
294	85.71%	100.00%
295	37.50%	100.00%
899	80.00%	100.00%
299	87.50%	100.00%
553	88.89%	100.00%
392	75.00%	100.00%
303	0.00%	0
846	82.35%	100.00%
305	83.33%	100.00%
309	85.71%	100.00%
313	100.00%	100.00%
315	100.00%	100.00%
829	94.12%	100.00%
495	100.00%	100.00%
594	33.33%	100.00%
859	100.00%	100.00%
686	84.62%	100.00%
747	85.71%	100.00%
625	72.73%	100.00%
469	87.50%	100.00%
852	88.89%	100.00%
321	85.71%	100.00%
621	81.82%	100.00%
526	88.89%	100.00%
324	100.00%	100.00%
325	71.43%	100.00%
326	0.00%	0
709	92.86%	100.00%
406	87.50%	100.00%
329	100.00%	100.00%
761	86.67%	100.00%
332	100.00%	100.00%
717	69.23%	100.00%
342	85.71%	100.00%
835	73.68%	100.00%
337	85.71%	100.00%
338	71.43%	100.00%
630	0.00%	0
460	100.00%	100.00%
575	33.33%	100.00%
539	100.00%	100.00%
396	100.00%	100.00%
343	85.71%	100.00%
699	92.31%	100.00%
347	100.00%	100.00%
350	85.71%	100.00%
352	85.71%	100.00%
388	100.00%	100.00%
355	85.71%	100.00%
356	85.71%	100.00%
454	55.56%	100.00%
585	90.00%	100.00%
358	75.00%	100.00%
434	62.50%	100.00%
361	100.00%	100.00%
479	100.00%	100.00%
453	0.00%	0
544	88.89%	100.00%
452	25.00%	100.00%
367	75.00%	100.00%
412	0.00%	0
370	87.50%	100.00%
422	71.43%	100.00%
607	81.82%	100.00%
629	27.27%	100.00%
375	71.43%	100.00%
377	85.71%	100.00%
379	85.71%	100.00%
711	71.43%	100.00%
510	77.78%	100.00%
383	100.00%	100.00%
480	77.78%	100.00%
626	76.92%	100.00%
389	87.50%	100.00%
782	33.33%	100.00%
390	87.50%	100.00%
416	75.00%	100.00%
705	84.62%	100.00%
393	62.50%	100.00%
501	55.56%	100.00%
400	100.00%	100.00%
419	87.50%	100.00%
523	88.89%	100.00%
401	75.00%	100.00%
442	87.50%	100.00%
462	100.00%	100.00%
496	62.50%	100.00%
721	86.67%	100.00%
429	100.00%	100.00%
432	87.50%	100.00%
874	81.82%	100.00%
435	87.50%	100.00%
563	80.00%	100.00%
548	60.00%	100.00%
440	100.00%	100.00%
534	77.78%	100.00%
444	50.00%	100.00%
538	33.33%	100.00%
446	88.89%	100.00%
718	85.71%	100.00%
663	91.67%	100.00%
841	94.44%	100.00%
540	77.78%	100.00%
507	90.00%	100.00%
492	55.56%	100.00%
551	81.82%	100.00%
536	88.89%	100.00%
520	88.89%	100.00%
488	100.00%	100.00%
678	85.71%	100.00%
498	80.00%	100.00%
504	100.00%	100.00%
532	88.89%	100.00%
660	84.62%	100.00%
517	60.00%	100.00%
828	88.24%	100.00%
542	20.00%	100.00%
631	0.00%	0
572	81.82%	100.00%
573	90.00%	100.00%
579	90.00%	100.00%
616	83.33%	100.00%
627	91.67%	100.00%
814	87.50%	100.00%
