-N 1000 -k 15 -maxk 50 -mu 0.3 -om 3 -on 200
P	R
99.75%	58.47%
----------------------------
Node	P	R
599	90.91%	100.00%
736	53.33%	100.00%
768	66.67%	100.00%
986	58.33%	100.00%
17	100.00%	100.00%
33	80.00%	100.00%
328	85.71%	100.00%
476	87.50%	100.00%
790	68.75%	100.00%
808	66.67%	100.00%
883	14.29%	100.00%
891	75.00%	93.75%
18	33.33%	100.00%
707	53.33%	100.00%
715	42.86%	100.00%
806	60.00%	100.00%
943	57.14%	94.12%
19	40.00%	100.00%
514	77.78%	100.00%
534	66.67%	100.00%
572	55.56%	100.00%
885	19.05%	100.00%
991	27.03%	100.00%
20	83.33%	100.00%
273	71.43%	100.00%
569	70.00%	100.00%
660	84.62%	100.00%
855	89.47%	100.00%
968	77.42%	100.00%
21	50.00%	100.00%
53	60.00%	100.00%
189	0.00%	0.00%
320	14.29%	100.00%
136	80.00%	100.00%
454	37.50%	100.00%
924	30.77%	100.00%
23	60.00%	100.00%
66	60.00%	100.00%
626	33.33%	100.00%
942	71.43%	100.00%
983	54.55%	100.00%
999	60.53%	100.00%
24	0.00%	0
76	100.00%	100.00%
578	63.64%	100.00%
681	84.62%	100.00%
728	71.43%	100.00%
810	52.94%	100.00%
25	100.00%	100.00%
48	25.00%	100.00%
152	83.33%	100.00%
384	75.00%	100.00%
467	77.78%	100.00%
503	77.78%	100.00%
521	87.50%	100.00%
26	25.00%	100.00%
38	80.00%	100.00%
262	57.14%	100.00%
447	100.00%	100.00%
722	46.15%	100.00%
804	31.25%	100.00%
926	57.69%	100.00%
945	31.03%	100.00%
710	78.57%	100.00%
937	60.71%	100.00%
998	24.32%	100.00%
28	0.00%	0
240	50.00%	100.00%
721	57.14%	100.00%
799	29.41%	100.00%
903	73.91%	100.00%
917	25.00%	100.00%
29	100.00%	100.00%
178	80.00%	100.00%
915	72.00%	100.00%
947	71.43%	100.00%
962	26.67%	100.00%
31	0.00%	0
822	61.11%	100.00%
835	29.41%	100.00%
864	57.14%	100.00%
938	53.57%	100.00%
32	100.00%	100.00%
413	75.00%	100.00%
444	66.67%	100.00%
601	63.64%	100.00%
805	29.41%	100.00%
866	60.00%	100.00%
977	54.55%	100.00%
319	57.14%	100.00%
535	77.78%	100.00%
585	70.00%	100.00%
636	72.73%	100.00%
868	28.57%	100.00%
34	60.00%	100.00%
72	40.00%	100.00%
107	50.00%	100.00%
644	33.33%	100.00%
933	39.29%	100.00%
35	50.00%	100.00%
292	25.00%	100.00%
374	75.00%	100.00%
402	85.71%	100.00%
659	50.00%	100.00%
675	30.77%	100.00%
36	60.00%	100.00%
355	42.86%	100.00%
561	80.00%	100.00%
639	66.67%	100.00%
882	45.00%	100.00%
964	20.00%	100.00%
972	30.00%	100.00%
37	100.00%	100.00%
356	75.00%	100.00%
670	69.23%	100.00%
738	66.67%	100.00%
754	64.29%	100.00%
762	68.75%	100.00%
823	64.71%	100.00%
42	50.00%	100.00%
169	66.67%	100.00%
480	77.78%	100.00%
650	61.54%	100.00%
676	23.08%	100.00%
39	100.00%	100.00%
584	90.00%	100.00%
614	100.00%	100.00%
770	73.33%	100.00%
777	73.33%	100.00%
40	66.67%	100.00%
394	42.86%	100.00%
448	75.00%	100.00%
631	61.54%	100.00%
685	83.33%	100.00%
771	68.75%	100.00%
992	58.33%	100.00%
41	50.00%	100.00%
321	66.67%	100.00%
600	72.73%	100.00%
605	90.00%	100.00%
745	69.23%	100.00%
749	53.33%	100.00%
789	5.88%	100.00%
438	66.67%	100.00%
564	33.33%	100.00%
860	66.67%	100.00%
875	25.00%	100.00%
929	40.74%	100.00%
43	80.00%	100.00%
142	80.00%	100.00%
143	80.00%	100.00%
174	66.67%	100.00%
347	71.43%	100.00%
44	80.00%	100.00%
105	100.00%	100.00%
359	71.43%	100.00%
399	62.50%	100.00%
596	66.67%	100.00%
664	33.33%	100.00%
719	35.71%	100.00%
948	24.14%	100.00%
45	60.00%	100.00%
310	75.00%	100.00%
602	27.27%	100.00%
640	50.00%	100.00%
695	50.00%	100.00%
750	53.33%	100.00%
834	31.58%	100.00%
268	83.33%	100.00%
496	71.43%	100.00%
724	28.57%	100.00%
47	16.67%	100.00%
165	16.67%	100.00%
671	33.33%	100.00%
827	33.33%	85.71%
858	60.00%	100.00%
406	37.50%	100.00%
617	50.00%	100.00%
684	76.92%	100.00%
807	41.18%	100.00%
892	66.67%	100.00%
49	80.00%	100.00%
74	80.00%	100.00%
144	80.00%	100.00%
172	85.71%	100.00%
192	66.67%	100.00%
215	66.67%	100.00%
840	21.05%	100.00%
923	30.77%	100.00%
50	100.00%	100.00%
696	83.33%	100.00%
913	55.56%	100.00%
934	66.67%	100.00%
982	54.55%	100.00%
995	47.37%	100.00%
51	100.00%	100.00%
338	85.71%	100.00%
414	87.50%	100.00%
607	90.00%	100.00%
714	69.23%	100.00%
997	51.35%	100.00%
52	20.00%	50.00%
153	0.00%	0.00%
403	62.50%	100.00%
708	76.92%	100.00%
690	28.57%	100.00%
747	42.86%	100.00%
751	73.33%	100.00%
651	91.67%	100.00%
55	60.00%	100.00%
290	25.00%	100.00%
461	22.22%	100.00%
769	66.67%	100.00%
821	35.29%	100.00%
56	40.00%	100.00%
733	57.14%	100.00%
739	28.57%	100.00%
773	64.71%	100.00%
825	76.47%	100.00%
897	59.09%	100.00%
901	65.22%	100.00%
954	76.67%	100.00%
57	40.00%	100.00%
637	66.67%	100.00%
774	86.67%	100.00%
801	52.94%	100.00%
930	44.44%	100.00%
979	27.27%	100.00%
58	80.00%	100.00%
257	100.00%	100.00%
737	78.57%	100.00%
829	66.67%	100.00%
838	66.67%	100.00%
905	21.74%	100.00%
182	50.00%	100.00%
60	80.00%	100.00%
642	66.67%	100.00%
786	75.00%	100.00%
819	64.71%	100.00%
952	28.57%	100.00%
61	100.00%	100.00%
523	85.71%	100.00%
727	78.57%	100.00%
766	68.75%	100.00%
793	68.75%	100.00%
904	68.18%	100.00%
62	66.67%	100.00%
243	83.33%	100.00%
391	71.43%	100.00%
546	70.00%	100.00%
697	69.23%	100.00%
759	60.00%	100.00%
869	52.38%	100.00%
63	60.00%	100.00%
254	100.00%	100.00%
656	69.23%	100.00%
893	31.82%	100.00%
922	55.56%	100.00%
984	25.00%	100.00%
64	100.00%	100.00%
725	84.62%	100.00%
811	77.78%	100.00%
872	47.62%	100.00%
65	100.00%	100.00%
340	66.67%	100.00%
401	62.50%	100.00%
456	66.67%	100.00%
524	77.78%	100.00%
586	63.64%	100.00%
654	58.33%	100.00%
852	77.78%	100.00%
331	50.00%	100.00%
666	23.08%	100.00%
963	60.00%	100.00%
67	83.33%	100.00%
303	57.14%	100.00%
876	57.14%	100.00%
881	73.91%	100.00%
951	53.57%	100.00%
68	80.00%	100.00%
397	75.00%	100.00%
575	81.82%	100.00%
69	60.00%	100.00%
283	71.43%	100.00%
441	77.78%	100.00%
539	77.78%	100.00%
758	66.67%	100.00%
70	83.33%	100.00%
297	75.00%	100.00%
557	0.00%	0
71	100.00%	100.00%
217	80.00%	100.00%
371	85.71%	100.00%
756	85.71%	100.00%
856	73.68%	100.00%
884	65.22%	100.00%
970	54.84%	100.00%
158	60.00%	100.00%
73	40.00%	100.00%
528	55.56%	100.00%
783	70.59%	100.00%
841	77.78%	100.00%
75	80.00%	100.00%
315	71.43%	100.00%
544	77.78%	100.00%
701	85.71%	100.00%
877	61.90%	100.00%
965	25.81%	100.00%
77	100.00%	100.00%
558	70.00%	100.00%
652	58.33%	100.00%
920	16.00%	100.00%
78	80.00%	100.00%
812	70.59%	100.00%
956	58.62%	100.00%
79	83.33%	100.00%
181	85.71%	100.00%
513	77.78%	100.00%
794	88.24%	100.00%
80	80.00%	100.00%
102	40.00%	100.00%
253	0.00%	0
509	80.00%	100.00%
781	64.71%	100.00%
842	88.89%	94.12%
843	76.19%	100.00%
936	51.85%	100.00%
81	100.00%	100.00%
435	50.00%	100.00%
763	80.00%	100.00%
809	70.59%	100.00%
836	55.00%	100.00%
909	62.50%	100.00%
82	66.67%	100.00%
409	62.50%	100.00%
416	62.50%	100.00%
423	62.50%	100.00%
433	62.50%	100.00%
692	46.15%	100.00%
870	25.00%	100.00%
83	100.00%	100.00%
446	75.00%	100.00%
84	100.00%	100.00%
542	72.73%	100.00%
674	100.00%	100.00%
927	57.69%	100.00%
953	58.06%	100.00%
85	83.33%	100.00%
112	80.00%	100.00%
665	61.54%	100.00%
717	76.92%	100.00%
86	80.00%	100.00%
732	21.43%	100.00%
960	68.97%	100.00%
88	80.00%	100.00%
865	78.95%	100.00%
873	80.00%	100.00%
880	76.19%	100.00%
958	70.00%	100.00%
959	65.62%	100.00%
89	33.33%	100.00%
731	71.43%	90.91%
853	50.00%	100.00%
90	83.33%	100.00%
256	83.33%	100.00%
465	87.50%	100.00%
787	62.50%	100.00%
800	62.50%	100.00%
846	21.05%	100.00%
157	83.33%	100.00%
967	80.00%	100.00%
92	80.00%	100.00%
170	80.00%	100.00%
553	70.00%	100.00%
620	90.00%	100.00%
93	0.00%	0
104	100.00%	100.00%
486	77.78%	100.00%
94	0.00%	0
663	75.00%	100.00%
667	66.67%	100.00%
95	66.67%	100.00%
405	75.00%	100.00%
742	50.00%	100.00%
752	66.67%	100.00%
993	25.71%	100.00%
96	80.00%	100.00%
833	64.71%	100.00%
854	68.42%	100.00%
97	20.00%	100.00%
411	71.43%	100.00%
862	30.00%	100.00%
98	66.67%	100.00%
221	71.43%	100.00%
427	85.71%	100.00%
658	30.77%	100.00%
817	72.22%	100.00%
848	78.95%	100.00%
99	80.00%	100.00%
388	85.71%	100.00%
475	87.50%	100.00%
537	22.22%	100.00%
711	78.57%	100.00%
100	66.67%	100.00%
420	71.43%	100.00%
606	36.36%	100.00%
101	50.00%	100.00%
279	50.00%	100.00%
281	50.00%	100.00%
408	50.00%	100.00%
775	64.71%	100.00%
167	16.67%	100.00%
449	22.22%	100.00%
472	22.22%	100.00%
641	18.18%	100.00%
1000	45.45%	100.00%
103	83.33%	100.00%
492	87.50%	100.00%
231	100.00%	100.00%
367	42.86%	100.00%
522	77.78%	100.00%
580	80.00%	100.00%
299	71.43%	100.00%
803	100.00%	100.00%
106	60.00%	100.00%
361	66.67%	100.00%
482	87.50%	100.00%
493	50.00%	100.00%
120	0.00%	0
108	60.00%	100.00%
390	57.14%	100.00%
109	60.00%	100.00%
183	0.00%	0
205	80.00%	100.00%
110	0.00%	0
691	7.69%	100.00%
871	71.43%	100.00%
369	85.71%	100.00%
116	80.00%	100.00%
906	29.17%	100.00%
113	80.00%	100.00%
382	75.00%	100.00%
114	60.00%	100.00%
540	70.00%	100.00%
778	31.25%	100.00%
115	60.00%	100.00%
455	42.86%	100.00%
874	57.14%	100.00%
940	32.14%	100.00%
199	57.14%	100.00%
618	72.73%	100.00%
117	80.00%	100.00%
118	33.33%	100.00%
603	63.64%	100.00%
638	75.00%	100.00%
653	33.33%	100.00%
119	50.00%	100.00%
162	83.33%	100.00%
753	40.00%	100.00%
896	81.82%	100.00%
121	80.00%	100.00%
225	0.00%	0
122	40.00%	100.00%
510	55.56%	100.00%
541	66.67%	100.00%
782	62.50%	100.00%
123	40.00%	100.00%
588	63.64%	100.00%
612	72.73%	100.00%
124	83.33%	100.00%
698	66.67%	100.00%
125	50.00%	100.00%
233	0.00%	0
126	40.00%	100.00%
127	100.00%	100.00%
128	83.33%	100.00%
412	75.00%	100.00%
529	66.67%	100.00%
616	90.00%	100.00%
791	68.75%	100.00%
129	66.67%	100.00%
668	30.77%	100.00%
788	64.29%	100.00%
130	66.67%	100.00%
573	90.00%	100.00%
925	77.78%	100.00%
131	100.00%	100.00%
547	0.00%	0
894	56.52%	100.00%
132	60.00%	100.00%
743	57.14%	100.00%
133	100.00%	100.00%
543	50.00%	100.00%
744	73.33%	100.00%
134	40.00%	100.00%
154	60.00%	100.00%
135	80.00%	100.00%
981	29.41%	100.00%
439	85.71%	100.00%
137	80.00%	100.00%
579	63.64%	100.00%
716	69.23%	100.00%
730	21.43%	100.00%
138	66.67%	100.00%
318	85.71%	100.00%
139	80.00%	100.00%
702	69.23%	100.00%
140	83.33%	100.00%
501	77.78%	100.00%
851	84.21%	100.00%
141	100.00%	100.00%
351	71.43%	100.00%
218	66.67%	100.00%
186	85.71%	100.00%
145	66.67%	100.00%
329	71.43%	100.00%
343	57.14%	100.00%
410	75.00%	100.00%
146	100.00%	100.00%
147	40.00%	100.00%
740	57.14%	100.00%
148	50.00%	100.00%
549	50.00%	100.00%
647	45.45%	100.00%
723	23.08%	100.00%
149	83.33%	100.00%
269	66.67%	100.00%
633	72.73%	100.00%
150	83.33%	100.00%
568	66.67%	100.00%
151	100.00%	100.00%
536	77.78%	100.00%
604	90.00%	100.00%
706	78.57%	100.00%
567	88.89%	100.00%
772	43.75%	100.00%
556	70.00%	100.00%
847	33.33%	100.00%
155	83.33%	100.00%
434	75.00%	100.00%
816	72.22%	100.00%
156	83.33%	100.00%
346	71.43%	100.00%
393	75.00%	100.00%
525	60.00%	100.00%
673	91.67%	100.00%
784	81.25%	100.00%
499	37.50%	100.00%
159	0.00%	0.00%
210	16.67%	50.00%
718	71.43%	100.00%
160	80.00%	100.00%
164	83.33%	100.00%
180	83.33%	100.00%
285	33.33%	100.00%
161	28.57%	100.00%
484	100.00%	100.00%
887	63.64%	100.00%
163	71.43%	100.00%
211	33.33%	100.00%
796	82.35%	100.00%
259	83.33%	100.00%
624	75.00%	100.00%
265	16.67%	100.00%
166	50.00%	100.00%
228	66.67%	100.00%
270	71.43%	100.00%
431	42.86%	100.00%
432	55.56%	100.00%
477	87.50%	100.00%
538	80.00%	100.00%
344	71.43%	100.00%
168	50.00%	100.00%
171	71.43%	100.00%
646	25.00%	100.00%
814	77.78%	100.00%
294	50.00%	100.00%
634	27.27%	100.00%
353	85.71%	100.00%
780	56.25%	100.00%
867	55.00%	100.00%
688	91.67%	100.00%
830	76.47%	100.00%
173	66.67%	100.00%
495	55.56%	100.00%
201	33.33%	100.00%
286	83.33%	100.00%
176	33.33%	100.00%
649	66.67%	100.00%
919	26.92%	100.00%
177	83.33%	100.00%
389	85.71%	100.00%
497	55.56%	100.00%
516	55.56%	100.00%
498	44.44%	100.00%
508	44.44%	100.00%
179	80.00%	100.00%
629	83.33%	100.00%
613	70.00%	100.00%
863	65.00%	100.00%
504	77.78%	100.00%
417	28.57%	100.00%
594	80.00%	100.00%
184	50.00%	100.00%
531	33.33%	100.00%
185	85.71%	100.00%
272	83.33%	100.00%
424	87.50%	100.00%
687	92.31%	100.00%
226	16.67%	100.00%
187	83.33%	100.00%
245	100.00%	100.00%
478	66.67%	100.00%
188	100.00%	100.00%
767	78.57%	100.00%
419	71.43%	100.00%
190	83.33%	100.00%
680	30.77%	100.00%
312	0.00%	0
583	63.64%	100.00%
792	31.25%	100.00%
193	71.43%	100.00%
643	72.73%	100.00%
679	71.43%	100.00%
907	33.33%	100.00%
194	0.00%	0
238	71.43%	100.00%
980	25.81%	100.00%
255	33.33%	100.00%
196	60.00%	100.00%
212	71.43%	100.00%
407	62.50%	100.00%
859	31.58%	100.00%
197	85.71%	100.00%
562	88.89%	100.00%
662	84.62%	100.00%
198	83.33%	100.00%
621	36.36%	100.00%
381	37.50%	100.00%
200	60.00%	100.00%
627	66.67%	100.00%
202	83.33%	100.00%
377	75.00%	100.00%
610	75.00%	100.00%
678	75.00%	100.00%
203	50.00%	100.00%
204	100.00%	100.00%
677	75.00%	100.00%
898	72.73%	100.00%
206	33.33%	100.00%
207	100.00%	100.00%
576	81.82%	100.00%
591	72.73%	100.00%
208	66.67%	100.00%
288	57.14%	100.00%
209	66.67%	100.00%
565	60.00%	100.00%
615	20.00%	100.00%
213	85.71%	100.00%
214	100.00%	100.00%
305	100.00%	100.00%
422	71.43%	100.00%
216	60.00%	100.00%
921	26.92%	100.00%
332	71.43%	100.00%
560	0.00%	0
532	88.89%	100.00%
699	30.77%	100.00%
220	50.00%	100.00%
232	66.67%	100.00%
878	28.57%	100.00%
222	33.33%	100.00%
348	0.00%	0
223	50.00%	100.00%
559	36.36%	100.00%
224	0.00%	0
734	80.00%	100.00%
950	34.48%	100.00%
471	11.11%	100.00%
597	0.00%	0
227	83.33%	100.00%
563	81.82%	100.00%
229	16.67%	100.00%
386	14.29%	50.00%
230	33.33%	100.00%
720	26.67%	100.00%
849	15.79%	100.00%
234	33.33%	100.00%
760	53.33%	100.00%
235	33.33%	100.00%
748	85.71%	100.00%
236	66.67%	100.00%
246	71.43%	100.00%
237	50.00%	100.00%
342	71.43%	100.00%
458	77.78%	100.00%
239	71.43%	100.00%
404	75.00%	100.00%
704	61.54%	100.00%
655	33.33%	100.00%
242	83.33%	100.00%
425	85.71%	100.00%
436	87.50%	100.00%
362	57.14%	100.00%
244	100.00%	100.00%
839	73.68%	100.00%
912	66.67%	100.00%
918	59.26%	100.00%
287	0.00%	0
247	0.00%	0
726	28.57%	100.00%
795	75.00%	100.00%
248	100.00%	100.00%
284	57.14%	100.00%
249	0.00%	0
250	83.33%	100.00%
251	50.00%	100.00%
396	14.29%	100.00%
252	40.00%	100.00%
314	71.43%	100.00%
746	42.86%	100.00%
464	87.50%	100.00%
457	42.86%	100.00%
844	55.00%	100.00%
916	53.85%	100.00%
258	50.00%	100.00%
622	80.00%	100.00%
261	85.71%	100.00%
566	80.00%	100.00%
264	33.33%	100.00%
267	83.33%	100.00%
326	71.43%	100.00%
459	55.56%	100.00%
266	14.29%	100.00%
682	61.54%	100.00%
888	77.27%	100.00%
545	50.00%	100.00%
271	0.00%	0.00%
713	35.71%	100.00%
757	75.00%	100.00%
274	0.00%	0
275	83.33%	100.00%
595	54.55%	100.00%
765	68.75%	100.00%
276	66.67%	100.00%
669	61.54%	100.00%
277	0.00%	0
686	21.43%	75.00%
280	0.00%	0
797	72.22%	100.00%
302	71.43%	100.00%
282	85.71%	100.00%
437	62.50%	100.00%
460	66.67%	100.00%
487	88.89%	100.00%
555	66.67%	100.00%
289	75.00%	100.00%
293	33.33%	100.00%
550	20.00%	100.00%
291	83.33%	100.00%
376	75.00%	100.00%
517	66.67%	100.00%
463	66.67%	100.00%
741	57.14%	100.00%
295	83.33%	100.00%
628	83.33%	100.00%
296	85.71%	100.00%
298	83.33%	100.00%
363	66.67%	100.00%
657	33.33%	100.00%
300	71.43%	100.00%
428	100.00%	100.00%
301	0.00%	0
505	88.89%	100.00%
308	62.50%	100.00%
304	85.71%	100.00%
581	70.00%	100.00%
306	71.43%	100.00%
577	36.36%	100.00%
307	50.00%	100.00%
648	66.67%	100.00%
311	100.00%	100.00%
357	57.14%	100.00%
313	0.00%	0
451	87.50%	100.00%
426	62.50%	100.00%
317	71.43%	100.00%
570	63.64%	100.00%
322	75.00%	100.00%
520	90.00%	100.00%
324	85.71%	100.00%
705	28.57%	100.00%
325	62.50%	100.00%
327	71.43%	100.00%
341	14.29%	100.00%
330	85.71%	100.00%
443	75.00%	100.00%
333	100.00%	100.00%
334	100.00%	100.00%
554	54.55%	100.00%
335	85.71%	100.00%
474	87.50%	100.00%
336	83.33%	100.00%
693	69.23%	100.00%
337	100.00%	100.00%
372	87.50%	100.00%
339	71.43%	100.00%
373	85.71%	100.00%
500	44.44%	100.00%
392	87.50%	100.00%
552	60.00%	100.00%
519	100.00%	100.00%
345	100.00%	100.00%
632	90.91%	100.00%
483	100.00%	100.00%
349	71.43%	100.00%
415	50.00%	100.00%
352	83.33%	100.00%
387	75.00%	100.00%
635	83.33%	100.00%
764	56.25%	100.00%
354	71.43%	100.00%
526	30.00%	100.00%
826	70.59%	100.00%
429	62.50%	100.00%
358	42.86%	100.00%
360	0.00%	0.00%
785	33.33%	100.00%
364	100.00%	100.00%
365	85.71%	100.00%
507	66.67%	100.00%
611	90.91%	100.00%
368	100.00%	100.00%
379	85.71%	100.00%
494	55.56%	100.00%
370	85.71%	100.00%
440	77.78%	100.00%
375	71.43%	100.00%
485	66.67%	100.00%
378	85.71%	100.00%
755	20.00%	100.00%
571	70.00%	100.00%
380	62.50%	100.00%
383	57.14%	100.00%
385	75.00%	100.00%
592	100.00%	100.00%
468	77.78%	100.00%
709	64.29%	100.00%
395	75.00%	100.00%
587	80.00%	100.00%
398	42.86%	100.00%
400	50.00%	100.00%
798	35.29%	100.00%
506	70.00%	100.00%
689	30.77%	100.00%
418	100.00%	100.00%
502	66.67%	100.00%
452	62.50%	100.00%
598	63.64%	100.00%
430	100.00%	100.00%
608	81.82%	100.00%
481	75.00%	100.00%
453	100.00%	100.00%
518	100.00%	100.00%
445	66.67%	100.00%
490	66.67%	100.00%
479	37.50%	100.00%
450	88.89%	100.00%
491	85.71%	100.00%
574	60.00%	100.00%
462	66.67%	100.00%
590	70.00%	100.00%
466	100.00%	100.00%
469	37.50%	100.00%
470	87.50%	100.00%
818	29.41%	100.00%
609	72.73%	100.00%
488	77.78%	100.00%
489	77.78%	100.00%
511	0.00%	0
630	75.00%	100.00%
530	80.00%	100.00%
694	30.77%	100.00%
533	77.78%	100.00%
548	80.00%	100.00%
625	33.33%	100.00%
